237_Slack_Age( 0.84 0.79 0.84 0.8 0.79 0.84 0.82 0.78 0.82 0.8
237_RF_Age( 0.16 0.04 0.28 0.18 0.18 0.36 0.24 0.02 0.22 0.12
145_RF_Age( 0.26 0.06 0.23 0.26 0.26 0.31 0.2 0.02 0.22 0.02
145_Slack_Age( 0.97 0.97 0.96 1.0 0.9 0.92 0.94 1.0 1.0 1.0
116_RF_Age( 0.21 0.02 0.16 0.12 0.38 0.38 0.2 0.04 0.34 0.08
116_Slack_Age( 1.0 0.97 0.9 0.98 0.94 0.88 1.0 1.0 1.0 0.92
87_RF_Age( 0.22 0.08 0.34 0.13 0.16 0.33 0.06 0.06 0.32 0.06
87_Slack_Age( 1.0 1.0 1.0 1.0 0.97 1.0 0.78 0.82 1.0 0.94
58_RF_Age( 0.06 0.03 0.32 0.2 0.28 0.02 0.12 0.24 0.13 0.04
58_Slack_Age( 1.0 0.94 0.95 0.77 0.82 0.92 0.98 0.96 1.0 0.98
