256_RF_sex( 0.13 0.12 0.02 0.04 0.14 0.19 0.1 0.21 0.04 0.17
256_RF_race( 0.18 0.15 0.05 0.23 0.12 0.15 0.08 0.19 0.26 0.14
640_RF_sex( 0.15 0.1 0.06 0.14 0.09 0.21 0.21 0.24 0.12 0.18
640_RF_race( 0.04 0.05 0.0 0.07 0.07 0.1 0.08 0.15 0.12 0.01
384_RF_sex( 0.2 0.13 0.07 0.03 0.11 0.12 0.12 0.16 0.16 0.1
384_RF_race( 0.1 0.0 0.21 0.07 0.12 0.01 0.22 0.18 0.18 0.06
512_RF_sex( 0.17 0.08 0.12 0.19 0.16 0.18 0.18 0.2 0.15 0.17
512_RF_race( 0.07 0.03 0.09 0.11 0.1 0.02 0.2 0.07 0.07 0.14
4937_RF_sex( 0.14 0.12 0.12 0.15 0.17 0.1 0.09 0.13 0.15 0.11
4937_RF_race( 0.07 0.08 0.03 0.01 0.1 0.12 0.06 0.08 0.0 0.07
