256_RF_sex( 0.31 0.33 0.29 0.41 0.39 0.3 0.32 0.35 0.22 0.31
256_RF_race( 0.31 0.27 0.35 0.46 0.3 0.41 0.35 0.34 0.43 0.3
640_RF_sex( 0.38 0.31 0.26 0.42 0.32 0.34 0.39 0.41 0.31 0.4
640_RF_race( 0.3 0.37 0.28 0.35 0.32 0.36 0.39 0.32 0.35 0.3
384_RF_sex( 0.33 0.38 0.31 0.39 0.34 0.35 0.3 0.35 0.35 0.34
384_RF_race( 0.34 0.35 0.38 0.32 0.32 0.36 0.44 0.39 0.33 0.31
512_RF_sex( 0.4 0.27 0.33 0.38 0.36 0.33 0.33 0.33 0.35 0.37
512_RF_race( 0.32 0.33 0.28 0.39 0.29 0.28 0.43 0.34 0.28 0.33
4937_RF_sex( 0.39 0.37 0.37 0.36 0.38 0.37 0.36 0.37 0.37 0.34
4937_RF_race( 0.39 0.38 0.36 0.35 0.36 0.37 0.35 0.38 0.33 0.37
