256_RF_sex( 0.36 0.338 0.37 0.36 0.377 0.366 0.357 0.36 0.347 0.353
256_RF_race( 0.357 0.355 0.377 0.362 0.368 0.391 0.366 0.37 0.366 0.346
640_RF_sex( 0.364 0.364 0.361 0.383 0.377 0.355 0.393 0.377 0.36 0.378
640_RF_race( 0.355 0.364 0.361 0.341 0.359 0.385 0.372 0.344 0.367 0.372
384_RF_sex( 0.324 0.378 0.379 0.368 0.367 0.377 0.352 0.337 0.374 0.372
384_RF_race( 0.369 0.372 0.352 0.353 0.363 0.36 0.361 0.35 0.374 0.339
512_RF_sex( 0.381 0.368 0.357 0.364 0.37 0.376 0.362 0.357 0.38 0.375
512_RF_race( 0.366 0.373 0.376 0.364 0.364 0.371 0.369 0.342 0.338 0.372
4937_RF_sex( 0.381 0.379 0.381 0.351 0.394 0.4 0.376 0.372 0.377 0.371
4937_RF_race( 0.379 0.391 0.381 0.371 0.377 0.368 0.349 0.37 0.362 0.377
