256_RF_sex( 0.63 0.66 0.64 0.64 0.61 0.62 0.65 0.63 0.65 0.63
256_RF_race( 0.64 0.65 0.61 0.65 0.62 0.6 0.64 0.62 0.63 0.66
640_RF_sex( 0.62 0.63 0.63 0.61 0.61 0.64 0.61 0.62 0.63 0.61
640_RF_race( 0.65 0.65 0.64 0.67 0.64 0.62 0.65 0.65 0.64 0.64
384_RF_sex( 0.66 0.61 0.62 0.63 0.62 0.62 0.65 0.66 0.62 0.62
384_RF_race( 0.64 0.65 0.65 0.66 0.63 0.65 0.63 0.65 0.62 0.67
512_RF_sex( 0.61 0.62 0.63 0.62 0.62 0.62 0.64 0.64 0.63 0.61
512_RF_race( 0.65 0.63 0.62 0.64 0.62 0.64 0.63 0.66 0.67 0.63
4937_RF_sex( 0.61 0.62 0.61 0.64 0.59 0.6 0.63 0.62 0.61 0.62
4937_RF_race( 0.62 0.62 0.62 0.63 0.61 0.64 0.66 0.62 0.65 0.63
