64_RF_sex( 0.09 0.12 0.01 0.06 0.03 0.14 0.07 0.04 0.05 0.05
64_Slack_sex( 0.86 0.78 0.86 0.89 0.69 0.87 0.68 0.62 0.83 0.84
96_RF_sex( 0.03 0.03 0.05 0.05 0.01 0.06 0.12 0.03 0.07 0.05
96_Slack_sex( 0.7 0.97 0.92 0.9 0.85 0.91 0.92 0.99 0.9 0.95
128_RF_sex( 0.05 0.0 0.08 0.07 0.02 0.08 0.06 0.09 0.06 0.06
128_Slack_sex( 0.91 0.89 0.93 0.9 0.83 0.98 0.97 0.96 0.97 0.95
835_Slack_sex( 0.81 0.81 0.81 0.81 0.78 0.82 0.8 0.81 0.8 0.81
835_RF_sex( 0.08 0.05 0.02 0.08 0.03 0.09 0.1 0.02 0.07 0.01
160_RF_sex( 0.01 0.05 0.03 0.07 0.01 0.07 0.06 0.0 0.06 0.02
160_Slack_sex( 0.92 0.92 0.94 0.96 0.97 0.9 0.94 0.84 0.82 0.98
