0_race( 0.24 0.26 0.26 0.26 0.24 0.27 0.23 0.25 0.24 0.25
0_sex( 0.28 0.3 0.29 0.3 0.28 0.31 0.26 0.29 0.3 0.3
1_race( 0.48 0.5 0.49 0.43 0.49 0.48 0.49 0.51 0.52 0.48
1_sex( 0.48 0.49 0.48 0.42 0.49 0.47 0.5 0.5 0.52 0.49
2_race( 0.24 0.24 0.24 0.26 0.26 0.24 0.25 0.25 0.26 0.24
2_sex( 0.29 0.28 0.29 0.3 0.29 0.29 0.29 0.29 0.29 0.29
3_race( 0.25 0.25 0.25 0.26 0.25 0.25 0.25 0.24 0.27 0.24
3_sex( 0.29 0.29 0.29 0.3 0.29 0.29 0.29 0.29 0.3 0.28
4_race( 0.25 0.27 0.25 0.24 0.26 0.25 0.27 0.25 0.27 0.26
4_sex( 0.3 0.3 0.3 0.28 0.3 0.29 0.31 0.29 0.31 0.3
5_race( 0.24 0.25 0.27 0.25 0.25 0.25 0.25 0.25 0.25 0.26
5_sex( 0.28 0.29 0.31 0.29 0.29 0.3 0.29 0.28 0.29 0.3
