0_race( 0.48 0.48 0.51 0.43 0.49 0.52 0.51 0.51 0.49 0.51
0_sex( 0.52 0.51 0.54 0.49 0.51 0.56 0.52 0.54 0.51 0.53
1_race( 0.48 0.54 0.47 0.44 0.5 0.47 0.5 0.49 0.48 0.45
1_sex( 0.48 0.53 0.5 0.45 0.47 0.5 0.49 0.48 0.49 0.47
2_race( 0.52 0.49 0.51 0.47 0.5 0.51 0.5 0.48 0.5 0.5
2_sex( 0.54 0.49 0.53 0.53 0.53 0.55 0.51 0.53 0.52 0.52
3_race( 0.49 0.45 0.49 0.48 0.49 0.44 0.49 0.47 0.51 0.5
3_sex( 0.52 0.48 0.51 0.52 0.51 0.5 0.51 0.51 0.52 0.52
4_race( 0.48 0.47 0.52 0.49 0.48 0.5 0.52 0.49 0.51 0.47
4_sex( 0.51 0.51 0.54 0.54 0.52 0.52 0.53 0.52 0.52 0.5
5_race( 0.51 0.49 0.49 0.51 0.51 0.48 0.52 0.48 0.52 0.52
5_sex( 0.54 0.52 0.52 0.55 0.51 0.53 0.54 0.52 0.53 0.53
