0_race( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0_sex( 0.11 0.11 0.1 0.15 0.13 0.14 0.13 0.12 0.14 0.15
1_race( 0.98 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1_sex( 0.11 0.11 0.1 0.15 0.13 0.14 0.13 0.12 0.14 0.15
2_race( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2_sex( 0.11 0.11 0.1 0.15 0.12 0.14 0.13 0.12 0.14 0.15
3_race( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.97 1.0 1.0
3_sex( 0.11 0.11 0.1 0.15 0.13 0.14 0.13 0.12 0.14 0.15
4_race( 0.88 0.91 0.92 0.9 0.89 0.89 0.91 0.9 0.91 0.91
4_sex( 0.21 0.16 0.19 0.18 0.18 0.21 0.2 0.2 0.23 0.21
