256_race( 0.44 0.38 0.25 0.26 0.32 0.46 0.46 0.3 0.44 0.45
256_sex( 0.36 0.4 0.29 0.42 0.39 0.38 0.34 0.48 0.36 0.41
640_race( 0.34 0.32 0.28 0.38 0.27 0.26 0.38 0.31 0.29 0.35
640_sex( 0.38 0.43 0.27 0.4 0.3 0.34 0.38 0.39 0.36 0.32
384_race( 0.4 0.25 0.37 0.4 0.26 0.24 0.38 0.35 0.36 0.35
384_sex( 0.31 0.46 0.32 0.38 0.31 0.36 0.39 0.37 0.34 0.39
512_race( 0.4 0.21 0.31 0.35 0.23 0.36 0.4 0.34 0.34 0.39
512_sex( 0.36 0.37 0.18 0.4 0.25 0.27 0.39 0.41 0.37 0.31
4937_race( 0.26 0.22 0.21 0.25 0.19 0.22 0.23 0.23 0.15 0.25
4937_sex( 0.29 0.33 0.26 0.34 0.25 0.25 0.33 0.34 0.3 0.26
