256_race( 0.62 0.72 0.86 0.69 0.79 0.64 0.58 0.75 0.67 0.65
256_sex( 0.75 0.72 0.81 0.69 0.69 0.72 0.76 0.61 0.77 0.7
640_race( 0.71 0.73 0.77 0.65 0.78 0.79 0.67 0.7 0.79 0.69
640_sex( 0.73 0.68 0.82 0.72 0.79 0.78 0.72 0.7 0.78 0.75
384_race( 0.68 0.65 0.68 0.67 0.79 0.81 0.66 0.67 0.74 0.67
384_sex( 0.8 0.68 0.81 0.74 0.81 0.75 0.71 0.73 0.8 0.69
512_race( 0.69 0.76 0.75 0.69 0.8 0.73 0.63 0.62 0.71 0.7
512_sex( 0.74 0.77 0.92 0.73 0.83 0.83 0.73 0.68 0.75 0.77
4937_race( 0.75 0.75 0.78 0.71 0.74 0.75 0.72 0.72 0.78 0.72
4937_sex( 0.77 0.75 0.78 0.72 0.74 0.75 0.73 0.71 0.77 0.73
