256_race( 0.25 0.22 0.16 0.36 0.21 0.19 0.22 0.28 0.19 0.27
256_sex( 0.32 0.27 0.3 0.26 0.18 0.34 0.36 0.34 0.3 0.17
640_race( 0.26 0.22 0.16 0.22 0.15 0.18 0.27 0.25 0.17 0.28
640_sex( 0.31 0.32 0.23 0.36 0.26 0.23 0.35 0.42 0.3 0.2
384_race( 0.32 0.22 0.24 0.37 0.17 0.21 0.32 0.23 0.17 0.18
384_sex( 0.31 0.3 0.24 0.38 0.27 0.23 0.3 0.39 0.22 0.26
512_race( 0.26 0.19 0.22 0.29 0.2 0.23 0.26 0.23 0.15 0.27
512_sex( 0.3 0.31 0.24 0.31 0.29 0.24 0.33 0.39 0.27 0.28
4937_race( 0.25 0.2 0.19 0.22 0.17 0.21 0.2 0.23 0.14 0.23
4937_sex( 0.28 0.32 0.25 0.32 0.23 0.24 0.32 0.34 0.28 0.25
