256_race( 0.8 0.76 0.88 0.68 0.76 0.83 0.81 0.68 0.84 0.75
256_sex( 0.77 0.83 0.8 0.82 0.83 0.78 0.75 0.76 0.8 0.85
640_race( 0.76 0.79 0.84 0.73 0.77 0.81 0.75 0.71 0.81 0.77
640_sex( 0.77 0.78 0.83 0.73 0.77 0.81 0.75 0.68 0.8 0.81
384_race( 0.74 0.79 0.83 0.7 0.8 0.79 0.7 0.71 0.84 0.79
384_sex( 0.77 0.8 0.86 0.73 0.78 0.82 0.78 0.71 0.86 0.79
512_race( 0.72 0.8 0.81 0.71 0.8 0.79 0.71 0.71 0.85 0.74
512_sex( 0.79 0.79 0.83 0.78 0.77 0.81 0.77 0.7 0.82 0.76
4937_race( 0.75 0.77 0.8 0.74 0.75 0.77 0.74 0.72 0.81 0.74
4937_sex( 0.77 0.76 0.8 0.75 0.75 0.77 0.74 0.72 0.79 0.75
