256_sex( 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
256_race( 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1024_sex( 0.31 0.45 0.38 0.4 0.42 0.44 0.38 0.4 0.38 0.42
1024_race( 0.53 0.53 0.43 0.54 0.53 0.5 0.51 0.49 0.54 0.46
512_sex( 0.37 0.4 0.35 0.37 0.47 0.46 0.33 0.36 0.37 0.38
512_race( 0.55 0.52 0.57 0.41 0.48 0.5 0.41 0.56 0.52 0.52
768_sex( 0.38 0.37 0.38 0.38 0.46 0.43 0.35 0.39 0.41 0.41
768_race( 0.54 0.56 0.53 0.54 0.54 0.58 0.52 0.54 0.56 0.51
1280_sex( 0.35 0.45 0.42 0.44 0.45 0.43 0.37 0.34 0.38 0.44
1280_race( 0.55 0.6 0.5 0.51 0.53 0.51 0.43 0.55 0.54 0.47
36177_sex( 0.41 0.44 0.44 0.42 0.46 0.45 0.42 0.45 0.43 0.45
36177_race( 0.56 0.56 0.56 0.56 0.56 0.54 0.54 0.58 0.56 0.55
