128_race( 0.1 0.14 0.77 0.01 0.15 0.11 0.23 0.03 0.14 0.18
128_sex( 0.29 0.42 0.21 0.41 0.34 0.35 0.37 0.47 0.2 0.33
384_race( 0.19 0.03 0.17 0.01 0.07 0.2 0.07 0.13 0.08 0.12
384_sex( 0.21 0.09 0.16 0.14 0.16 0.08 0.18 0.18 0.12 0.21
256_race( 0.25 0.14 0.03 0.01 0.08 0.06 0.17 0.04 0.08 0.19
256_sex( 0.17 0.03 0.01 0.08 0.16 0.06 0.02 0.13 0.1 0.19
512_race( 0.1 0.05 0.08 0.03 0.08 0.2 0.08 0.12 0.06 0.08
512_sex( 0.17 0.08 0.13 0.04 0.07 0.03 0.26 0.14 0.11 0.13
640_race( 0.07 0.07 0.12 0.02 0.04 0.16 0.12 0.13 0.04 0.11
640_sex( 0.14 0.19 0.03 0.1 0.15 0.24 0.09 0.24 0.09 0.14
4937_race( 0.1 0.04 0.02 0.09 0.03 0.15 0.08 0.13 0.08 0.11
4937_sex( 0.11 0.09 0.11 0.12 0.1 0.14 0.15 0.13 0.11 0.12
