512_sex( 0.07 0.08 0.08 0.09 0.07 0.06 0.07 0.14 0.13 0.16
512_race( 0.27 0.22 0.14 0.27 0.17 0.16 0.22 0.3 0.2 0.18
1280_sex( 0.14 0.15 0.13 0.12 0.13 0.16 0.11 0.11 0.13 0.17
1280_race( 0.25 0.2 0.27 0.25 0.26 0.29 0.22 0.25 0.2 0.18
768_sex( 0.11 0.14 0.09 0.14 0.1 0.15 0.08 0.11 0.13 0.17
768_race( 0.26 0.23 0.16 0.19 0.25 0.22 0.21 0.22 0.22 0.18
1024_sex( 0.11 0.14 0.12 0.09 0.1 0.14 0.08 0.11 0.15 0.16
1024_race( 0.26 0.23 0.21 0.27 0.28 0.2 0.25 0.25 0.21 0.2
36177_sex( 0.18 0.24 0.22 0.19 0.23 0.27 0.18 0.23 0.24 0.24
36177_race( 0.33 0.35 0.34 0.35 0.34 0.36 0.29 0.35 0.36 0.31
