order,dataset,model,metric,median,sk_rank,cliffsDelta,CD_res,tm_cliffsDelta,tm_bootstrap,jacc
1,communities,32_RFx_Racepctwhite(,recall+,0.71,1,0.125,negligible,True,same,0.38
1,communities,98_RF_Racepctwhite(,recall+,0.75,1,,,,,
1,communities,32_RFs_Racepctwhite(,recall+,0.75,1,0.075,negligible,True,same,0.62
1,communities,32_RF_Racepctwhite(,recall+,0.75,1,0.0275,negligible,True,same,0.88
1,communities,32_RFm_Racepctwhite(,recall+,1.0,2,-0.25263157894736843,small,False,same,0.6
1,communities,32_RFx_Racepctwhite(,prec+,0.67,1,0.205,small,False,same,0.36
1,communities,32_RFm_Racepctwhite(,prec+,0.75,1,0.19210526315789472,small,False,same,0.45
1,communities,98_RF_Racepctwhite(,prec+,1.0,2,,,,,
1,communities,32_RFs_Racepctwhite(,prec+,1.0,2,0.0875,negligible,True,same,0.38
1,communities,32_RF_Racepctwhite(,prec+,1.0,2,0.0425,negligible,True,same,0.45
1,communities,32_RFx_Racepctwhite(,acc+,0.83,1,0.3175,small,False,same,0.38
1,communities,32_RFs_Racepctwhite(,acc+,0.85,1,0.38125,medium,False,same,0.31
1,communities,32_RF_Racepctwhite(,acc+,0.86,2,0.1925,small,False,same,0.47
1,communities,98_RF_Racepctwhite(,acc+,0.87,2,,,,,
1,communities,32_RFm_Racepctwhite(,acc+,0.87,2,0.1,negligible,True,same,0.35
1,communities,32_RFs_Racepctwhite(,F1+,0.67,1,0.2125,small,False,same,0.4
1,communities,32_RFx_Racepctwhite(,F1+,0.67,1,0.315,small,False,same,0.41
1,communities,32_RF_Racepctwhite(,F1+,0.67,2,0.14,negligible,True,same,0.46
1,communities,32_RFm_Racepctwhite(,F1+,0.75,2,-0.013157894736842105,negligible,True,same,0.54
1,communities,98_RF_Racepctwhite(,F1+,0.8,2,,,,,
1,communities,32_RFm_Racepctwhite(,FA0-,0.0,1,0.25263157894736843,small,False,same,0.6
1,communities,98_RF_Racepctwhite(,FA0-,0.25,2,,,,,
1,communities,32_RFs_Racepctwhite(,FA0-,0.25,2,-0.075,negligible,True,same,0.62
1,communities,32_RF_Racepctwhite(,FA0-,0.25,2,-0.0275,negligible,True,same,0.88
1,communities,32_RFx_Racepctwhite(,FA0-,0.29,2,-0.0425,negligible,True,same,0.38
1,communities,32_RFm_Racepctwhite(,AOD-,0.36,1,0.2710526315789474,small,False,same,0.2
1,communities,32_RFs_Racepctwhite(,AOD-,0.38,1,0.3125,small,False,same,0.0
1,communities,32_RFx_Racepctwhite(,AOD-,0.39,1,0.27,small,False,same,0.06
1,communities,32_RF_Racepctwhite(,AOD-,0.4,1,0.25,small,False,same,0.19
1,communities,98_RF_Racepctwhite(,AOD-,0.5,2,,,,,
1,communities,32_RFm_Racepctwhite(,EOD-,0.14,1,0.19736842105263158,small,False,same,0.47
1,communities,32_RF_Racepctwhite(,EOD-,0.17,2,0.085,negligible,True,same,0.62
1,communities,98_RF_Racepctwhite(,EOD-,0.22,2,,,,,
1,communities,32_RFx_Racepctwhite(,EOD-,0.23,2,-0.0725,negligible,True,same,0.4
1,communities,32_RFs_Racepctwhite(,EOD-,0.33,3,-0.25625,small,False,same,0.29
